Prosecna neto zarada,Broj FTTH/B prikljucaka
59941,
58132,
59681,
58932,
58892,
59740,
60029,
58513,
59698,
60109,
60926,
66092,
63109,
62280,
65289,
64948,
65025,
65070,
64731,
64639,
65218,
66048,
69136,
74629,
